,normal_mean,anomaly_mean,delta_anom_minus_normal
timestamp__epoch_s,1754225251.2550526,1747134735.098,-7090516.157052517
timestamp_delay_s,121.25821052631579,134.316,13.05778947368421
protoPayload.status.code,0.15389473684210525,5.64,5.486105263157895
protoPayload.methodName__le,3.9757894736842103,7.61,3.63421052631579
dayofweek,2.924315789473684,3.904,0.9796842105263157
protoPayload.requestMetadata.callerSuppliedUserAgent__le,5.211368421052631,4.816,-0.39536842105263137
is_weekend,0.26305263157894737,0.552,0.2889473684210527
logName__le,1.4993684210526317,1.736,0.2366315789473683
resource.labels.project_id__le,1.4993684210526317,1.736,0.2366315789473683
resource.labels.cluster_name__le,3.5233684210526315,3.308,-0.21536842105263165
hour,11.410105263157895,11.58,0.16989473684210488
anonymous_principal,0.0,0.072,0.072
resource.labels.location__le,2.4907368421052634,2.526,0.03526315789473644
