insertId,timestamp,logName,receiveTimestamp,labels.authorization.k8s.io/reason,labels.authorization.k8s.io/decision,resource.type,resource.labels.project_id,resource.labels.location,resource.labels.cluster_name,protoPayload.@type,protoPayload.authenticationInfo.principalEmail,protoPayload.authorizationInfo,protoPayload.methodName,protoPayload.requestMetadata.callerIp,protoPayload.requestMetadata.callerSuppliedUserAgent,protoPayload.resourceName,protoPayload.serviceName,protoPayload.status.code,protoPayload.status.message,operation.id,operation.producer,operation.last,operation.first,protoPayload.request.@type,protoPayload.request.metadata.name,protoPayload.request.metadata.labels.kubernetes.io/bootstrapping,protoPayload.request.metadata.annotations.rbac.authorization.kubernetes.io/autoupdate,protoPayload.request.metadata.namespace,protoPayload.request.apiVersion,protoPayload.request.kind,protoPayload.request.roleRef.name,protoPayload.request.roleRef.kind,protoPayload.request.roleRef.apiGroup,protoPayload.request.subjects,protoPayload.response.@type,protoPayload.response.metadata.name,protoPayload.response.metadata.labels.kubernetes.io/bootstrapping,protoPayload.response.metadata.annotations.rbac.authorization.kubernetes.io/autoupdate,protoPayload.response.metadata.namespace,protoPayload.response.metadata.creationTimestamp,protoPayload.response.metadata.managedFields,protoPayload.response.metadata.uid,protoPayload.response.metadata.resourceVersion,protoPayload.response.apiVersion,protoPayload.response.kind,protoPayload.response.roleRef.name,protoPayload.response.roleRef.kind,protoPayload.response.roleRef.apiGroup,protoPayload.response.subjects
consolidated_event_1_761316,2024-11-03T16:38:07.0000Z,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-11-03T16:38:58.0000Z,RBAC: access denied,forbid,k8s_cluster,project123,europe-west1,prod-cluster,type.googleapis.com/google.cloud.audit.AuditLog,admin@company.com,"[{'resource': 'apis/networking.k8s.io/v1/networkpolicies', 'permission': 'io.k8s.patch'}]",io.k8s.patch,198.18.9.235,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,apis/networking.k8s.io/v1/networkpolicies,k8s.io,0,OK,operation_1_570339,k8s.io,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
consolidated_event_11_355359,2024-07-06T11:59:19.0000Z,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-07-06T12:01:26.0000Z,RBAC: access denied,forbid,k8s_cluster,project123,us-central1,dev-cluster,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,"[{'resource': 'apis/v1/services', 'permission': 'io.k8s.get'}]",io.k8s.get,198.19.90.169,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,apis/v1/services,k8s.io,7,"forbidden: User ""dev@company.com"" cannot get path ""apis/v1/services""",operation_11_850276,k8s.io,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
consolidated_event_21_945391,2024-03-06T04:05:32.0000Z,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-03-06T04:09:49.0000Z,RBAC: access denied,forbid,k8s_cluster,project123,us-west1,nf-default,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,"[{'resource': 'apis/networking.k8s.io/v1/networkpolicies', 'permission': 'io.k8s.delete'}]",io.k8s.delete,198.18.39.24,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,apis/networking.k8s.io/v1/networkpolicies,k8s.io,0,OK,operation_21_925334,k8s.io,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
consolidated_event_31_819974,2024-12-17T15:24:51.0000Z,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-12-17T15:24:56.0000Z,RBAC: access denied,forbid,k8s_cluster,project123,europe-west1,nf-default,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,"[{'resource': 'apis/rbac.authorization.k8s.io/v1/roles', 'permission': 'io.k8s.put'}]",io.k8s.put,198.19.109.172,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/rbac.authorization.k8s.io/v1/roles,k8s.io,3,Invalid argument,operation_31_937184,k8s.io,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
consolidated_event_41_971752,2024-09-17T06:09:24.0000Z,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-09-17T06:10:40.0000Z,RBAC: access denied,forbid,k8s_cluster,project123,europe-west1,nf-default,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,"[{'resource': 'global-protect/login.esp', 'permission': 'io.k8s.put'}]",io.k8s.put,198.18.83.217,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,global-protect/login.esp,k8s.io,3,Invalid argument,operation_41_188459,k8s.io,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
consolidated_event_51_685144,2024-12-06T01:12:01.0000Z,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-12-06T01:13:27.0000Z,,allow,k8s_cluster,project123,asia-southeast1,nf-default,type.googleapis.com/google.cloud.audit.AuditLog,system:anonymous,"[{'resource': 'apis/batch/v1/jobs', 'permission': 'io.k8s.get'}]",io.k8s.get,198.18.79.228,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36",apis/batch/v1/jobs,k8s.io,7,"forbidden: User ""system:anonymous"" cannot get path ""apis/batch/v1/jobs""",operation_51_933071,k8s.io,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
consolidated_event_61_107982,2024-07-20T10:16:34.0000Z,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-07-20T10:17:14.0000Z,,allow,k8s_cluster,project123,europe-west1,dev-cluster,type.googleapis.com/google.cloud.audit.AuditLog,service-account@company.iam.gserviceaccount.com,"[{'resource': 'apis/v1/services', 'permission': 'io.k8s.delete'}]",io.k8s.delete,198.19.148.36,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,apis/v1/services,k8s.io,13,Internal error,operation_61_631291,k8s.io,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
consolidated_event_71_525150,2024-07-25T20:21:32.0000Z,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-07-25T20:22:21.0000Z,RBAC: access denied,forbid,k8s_cluster,project123,asia-southeast1,prod-cluster,type.googleapis.com/google.cloud.audit.AuditLog,dev@company.com,"[{'resource': 'apis/apps/v1/deployments', 'permission': 'io.k8s.post'}]",io.k8s.post,198.18.224.49,kubectl/v1.25.0 (linux/amd64) kubernetes/a866cbe,apis/apps/v1/deployments,k8s.io,13,Internal error,operation_71_448535,k8s.io,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
consolidated_event_81_368941,2024-12-25T21:45:28.0000Z,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-12-25T21:48:03.0000Z,RBAC: access denied,forbid,k8s_cluster,project123,asia-southeast1,test-cluster,type.googleapis.com/google.cloud.audit.AuditLog,admin@company.com,"[{'resource': 'apis/v1/services', 'permission': 'io.k8s.delete'}]",io.k8s.delete,198.19.199.232,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/115.0.0.0 Safari/537.36 Edg/115.0.1901.203",apis/v1/services,k8s.io,3,Invalid argument,operation_81_230134,k8s.io,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
consolidated_event_91_706338,2024-07-21T19:09:09.0000Z,projects/project123/logs/cloudaudit.googleapis.com%2Factivity,2024-07-21T19:10:13.0000Z,,allow,k8s_cluster,project123,us-central1,test-cluster,type.googleapis.com/google.cloud.audit.AuditLog,user@company.com,"[{'resource': 'apis/rbac.authorization.k8s.io/v1/roles', 'permission': 'io.k8s.post'}]",io.k8s.post,198.18.127.146,kubectl/v1.26.0 (darwin/amd64) kubernetes/b46c28f,apis/rbac.authorization.k8s.io/v1/roles,k8s.io,16,Permission denied,operation_91_976047,k8s.io,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,
