protoPayload.status.code,anonymous_principal,timestamp__epoch_s,logName__le,resource.labels.project_id__le,resource.labels.location__le,resource.labels.cluster_name__le,protoPayload.methodName__le,protoPayload.requestMetadata.callerSuppliedUserAgent__le,hour,dayofweek,is_weekend,timestamp_delay_s,anomaly,target
7,0,1720267159.0,3,3,3,0,9,6,11,5,1,127.0,-1,1
3,0,1726553364.0,3,3,1,2,14,6,6,1,0,76.0,-1,1
3,0,1735163128.0,3,3,0,6,8,3,21,2,0,155.0,-1,1
0,0,1728150256.0,3,3,3,2,12,2,17,5,1,158.0,-1,1
7,0,1715301518.0,3,3,1,0,8,6,0,4,0,203.0,-1,1
3,0,1728093229.0,3,3,0,5,8,7,1,5,1,150.0,-1,1
13,0,1727026209.0,3,3,3,2,9,3,17,6,1,55.0,-1,0
0,0,1727602409.0,3,3,5,5,12,1,9,6,1,29.0,-1,1
13,0,1734596393.0,3,3,5,2,9,2,8,3,0,50.0,-1,0
7,0,1715788039.0,3,3,0,6,14,7,15,2,0,106.0,-1,1
7,0,1704468978.0,3,3,3,4,12,3,15,4,0,163.0,-1,1
0,0,1726474268.0,3,3,3,5,14,7,8,0,0,134.0,-1,1
3,0,1732302733.0,3,3,5,5,13,1,19,4,0,166.0,-1,0
0,0,1707466672.0,3,3,5,2,9,1,8,4,0,117.0,-1,1
7,0,1709713999.0,3,3,0,6,14,1,8,2,0,281.0,-1,1
7,0,1729140749.0,3,3,0,6,9,7,4,3,0,152.0,-1,0
3,0,1719130135.0,3,3,3,5,12,2,8,6,1,28.0,-1,1
0,0,1713717932.0,3,3,3,2,9,3,16,6,1,234.0,-1,0
3,0,1727333102.0,3,3,0,0,14,7,6,3,0,195.0,-1,0
7,0,1709374366.0,3,3,3,2,9,3,10,5,1,177.0,-1,1
0,0,1713249959.0,3,3,1,2,12,3,6,1,0,153.0,-1,0
13,0,1731465631.0,3,3,5,6,14,2,2,2,0,34.0,-1,0
3,0,1715030362.0,3,3,1,6,8,3,21,0,0,59.0,-1,0
3,0,1717604845.0,3,3,1,4,14,1,16,2,0,193.0,-1,0
0,0,1708932580.0,3,3,5,6,13,7,7,0,0,83.0,-1,1
0,0,1727442867.0,3,3,1,5,8,2,13,4,0,17.0,-1,0
3,0,1706148422.0,3,3,5,4,12,3,2,3,0,220.0,-1,0
0,0,1735142439.0,3,3,5,6,14,3,16,2,0,243.0,-1,0
3,0,1708517144.0,3,3,1,4,8,6,12,2,0,270.0,-1,1
3,0,1721069259.0,3,3,0,2,13,2,18,0,0,40.0,-1,1
0,0,1708068374.0,3,3,5,2,12,7,7,4,0,117.0,-1,0
0,0,1709975119.0,3,3,1,6,8,6,9,5,1,83.0,-1,1
3,0,1719223448.0,3,3,5,2,12,6,10,0,0,53.0,-1,1
3,0,1712675894.0,3,3,3,5,12,1,15,1,0,108.0,-1,1
3,0,1732012213.0,3,3,5,4,12,3,10,1,0,27.0,-1,1
3,0,1724487035.0,3,3,3,0,12,3,8,5,1,206.0,-1,0
0,0,1726824345.0,3,3,5,6,14,3,9,4,0,41.0,-1,1
3,0,1712264657.0,3,3,0,6,13,7,21,3,0,289.0,-1,0
3,0,1721210675.0,3,3,5,4,8,2,10,2,0,11.0,-1,1
3,0,1732294138.0,3,3,0,4,13,7,16,4,0,55.0,-1,1
0,0,1737339398.0,3,3,0,3,10,9,2,0,0,154.0,-1,0
7,0,1771714254.0,0,0,5,6,3,5,22,5,1,54.0,-1,1
0,0,1770672741.0,0,0,4,6,0,8,21,0,0,228.0,-1,0
0,0,1741326535.0,3,3,3,6,0,8,5,4,0,210.0,-1,0
0,0,1756494103.0,0,0,3,1,10,0,19,4,0,225.0,-1,0
0,0,1770772590.0,3,3,1,5,6,8,1,2,0,9.0,-1,0
0,0,1736712641.0,0,0,5,6,2,9,20,6,1,38.0,-1,0
0,0,1743803330.0,2,2,1,5,11,9,21,4,0,236.0,-1,0
0,0,1771869894.0,2,2,5,2,4,4,18,0,0,232.0,-1,0
0,0,1769751853.0,3,3,5,1,4,4,5,4,0,230.0,-1,0
0,0,1770483806.0,0,0,5,3,10,0,17,5,1,57.0,-1,0
0,0,1746829700.0,0,0,5,6,15,5,22,4,0,69.0,-1,0
0,0,1764386255.0,3,3,3,5,11,0,3,5,1,44.0,-1,0
0,0,1760991010.0,3,3,5,1,3,0,20,0,0,228.0,-1,0
7,0,1740404064.0,2,2,0,2,10,0,13,0,0,196.0,-1,1
0,0,1771648374.0,3,3,4,1,15,9,4,5,1,164.0,-1,0
0,0,1735900419.0,3,3,4,1,2,0,10,4,0,20.0,-1,0
0,0,1744940233.0,0,0,3,5,15,0,1,4,0,153.0,-1,0
0,0,1755300272.0,3,3,4,6,10,9,23,4,0,202.0,-1,0
0,0,1738948186.0,1,1,4,6,0,8,17,4,0,231.0,-1,0
0,0,1758445668.0,2,2,4,6,15,5,9,6,1,21.0,-1,0
0,0,1750081067.0,3,3,5,1,4,0,13,0,0,235.0,-1,0
0,0,1752273208.0,3,3,5,1,15,8,22,4,0,23.0,-1,0
0,0,1767392200.0,3,3,5,4,15,0,22,4,0,133.0,-1,0
0,0,1752013952.0,2,2,5,3,15,8,22,1,0,8.0,-1,0
0,0,1771716344.0,1,1,5,2,2,0,23,5,1,234.0,-1,0
0,0,1769458682.0,0,0,5,6,0,9,20,0,0,38.0,-1,0
0,0,1736344739.0,0,0,0,6,2,0,13,2,0,237.0,-1,0
0,0,1737373122.0,0,0,0,6,11,8,11,0,0,62.0,-1,0
0,0,1740757275.0,1,1,2,1,10,0,15,4,0,237.0,-1,0
0,0,1766172008.0,2,2,5,1,2,0,19,4,0,237.0,-1,0
0,0,1772150873.0,0,0,0,5,10,9,0,4,0,60.0,-1,0
0,0,1766276731.0,0,0,5,6,0,4,0,6,1,61.0,-1,0
0,0,1756514084.0,2,2,5,6,6,0,0,5,1,8.0,-1,0
0,0,1768782842.0,3,3,3,4,15,4,0,0,0,42.0,-1,0
0,0,1735990396.0,0,0,2,1,11,0,11,5,1,58.0,-1,0
0,0,1741900157.0,3,3,5,5,10,9,21,3,0,72.0,-1,0
0,0,1768334454.0,2,2,5,5,15,9,20,1,0,171.0,-1,0
0,0,1738444822.0,0,0,2,4,15,8,21,5,1,225.0,-1,0
0,0,1738571135.0,2,2,5,3,6,4,8,0,0,233.0,-1,0
0,0,1745882343.0,2,2,5,6,6,0,23,0,0,140.0,-1,0
0,0,1739062187.0,0,0,5,2,3,9,0,6,1,220.0,-1,0
0,0,1762737625.0,3,3,4,2,15,8,1,0,0,20.0,-1,0
0,0,1766277540.0,3,3,0,4,15,0,0,6,1,200.0,-1,0
0,0,1739842764.0,1,1,5,3,10,0,1,1,0,145.0,-1,0
0,0,1771117130.0,0,0,5,5,2,9,0,6,1,70.0,-1,0
0,0,1750393306.0,2,2,0,1,11,0,4,4,0,205.0,-1,0
7,0,1743455812.0,3,3,0,6,10,0,21,0,0,67.0,-1,1
0,0,1750118306.0,0,0,5,4,0,8,23,0,0,2.0,-1,0
0,0,1754025341.0,1,1,0,5,15,9,5,4,0,225.0,-1,0
0,0,1739660438.0,0,0,0,2,2,0,23,5,1,24.0,-1,0
0,0,1768661495.0,3,3,5,1,10,8,14,5,1,222.0,-1,0
0,0,1769293787.0,1,1,5,1,11,9,22,5,1,130.0,-1,0
0,0,1766114104.0,2,2,0,1,2,0,3,4,0,165.0,-1,0
0,0,1738417951.0,2,2,4,6,10,0,13,5,1,12.0,-1,0
0,0,1765756589.0,0,0,1,6,6,8,23,6,1,164.0,-1,0
7,0,1770909160.0,0,0,2,6,11,0,15,3,0,75.0,-1,1
0,0,1772439982.0,1,1,3,1,2,0,8,0,0,237.0,-1,0
0,0,1743437559.0,3,3,0,6,10,0,16,0,0,29.0,-1,0
0,0,1765386052.0,0,0,5,1,15,8,17,2,0,164.0,-1,0
0,0,1735697237.0,0,0,3,2,5,9,2,2,0,5.0,-1,0
0,0,1741393380.0,0,0,4,2,10,0,0,5,1,231.0,-1,0
0,0,1748598850.0,1,1,0,1,15,4,9,4,0,25.0,-1,0
0,0,1740991153.0,2,2,0,1,6,0,8,0,0,209.0,-1,0
0,0,1745880152.0,1,1,0,2,1,9,22,0,0,2.0,-1,0
7,0,1735772455.0,3,3,5,5,10,9,23,2,0,214.0,-1,1
0,0,1743297330.0,0,0,0,2,10,9,1,6,1,120.0,-1,0
0,0,1769958245.0,1,1,5,5,11,0,15,6,1,181.0,-1,0
0,0,1751335550.0,3,3,1,1,15,9,2,1,0,56.0,-1,0
0,0,1740439380.0,1,1,5,2,10,0,23,0,0,20.0,-1,0
0,0,1737412469.0,2,2,0,1,10,0,22,0,0,163.0,-1,0
7,0,1770070918.0,3,3,5,5,2,0,22,0,0,35.0,-1,1
7,0,1737756767.0,3,3,5,1,5,0,22,4,0,61.0,-1,1
0,0,1764103955.0,1,1,1,1,15,9,20,1,0,200.0,-1,0
0,0,1772793326.0,1,1,1,5,2,0,10,4,0,2.0,-1,0
0,0,1735900355.0,0,0,3,1,0,9,10,4,0,2.0,-1,0
0,0,1771025712.0,3,3,4,6,10,0,23,4,0,7.0,-1,0
7,0,1752529186.0,3,3,0,6,6,4,21,0,0,222.0,-1,1
0,0,1768678436.0,3,3,3,2,10,9,19,5,1,202.0,-1,0
0,0,1765569081.0,1,1,0,5,6,8,19,4,0,233.0,-1,0
0,0,1759657102.0,3,3,0,1,11,9,9,6,1,15.0,-1,0
0,0,1744458507.0,3,3,0,6,15,4,11,5,1,20.0,-1,0
0,0,1768780545.0,3,3,4,6,10,4,23,6,1,45.0,-1,0
0,0,1750460289.0,2,2,5,1,5,0,22,4,0,179.0,-1,0
0,0,1753763266.0,3,3,0,6,11,0,4,1,0,237.0,-1,0
0,0,1737074202.0,3,3,5,4,11,5,0,4,0,44.0,-1,0
0,0,1737650681.0,1,1,3,6,15,0,16,3,0,237.0,-1,0
0,0,1747968279.0,0,0,0,1,4,9,2,4,0,33.0,-1,0
0,0,1743034641.0,1,1,5,1,15,9,0,3,0,200.0,-1,0
0,0,1737135890.0,3,3,0,2,6,9,17,4,0,223.0,-1,0
0,0,1767993746.0,3,3,1,1,10,4,21,4,0,24.0,-1,0
0,0,1737475579.0,2,2,5,1,10,0,16,1,0,179.0,-1,0
0,0,1755457295.0,2,2,4,2,15,0,19,6,1,235.0,-1,0
0,0,1767566832.0,0,0,0,6,2,9,22,6,1,196.0,-1,0
0,0,1746229324.0,0,0,0,3,11,4,23,4,0,122.0,-1,0
0,0,1737941054.0,0,0,0,1,2,9,1,0,0,50.0,-1,0
0,0,1766882002.0,3,3,1,6,15,9,0,6,1,208.0,-1,0
0,0,1767611700.0,0,0,2,1,1,9,11,0,0,237.0,-1,0
0,0,1764223271.0,1,1,0,4,15,0,6,3,0,3.0,-1,0
0,0,1769731252.0,1,1,5,4,10,0,0,4,0,208.0,-1,0
0,0,1739022635.0,2,2,5,2,11,0,13,5,1,237.0,-1,0
0,0,1737412561.0,2,2,4,6,6,5,22,0,0,233.0,-1,0
0,0,1736292328.0,3,3,4,5,6,0,23,1,0,20.0,-1,0
0,0,1736007663.0,0,0,3,1,15,8,16,5,1,180.0,-1,0
0,0,1735883467.0,3,3,2,5,3,0,5,4,0,16.0,-1,0
0,0,1757020268.0,3,3,5,6,10,8,21,3,0,230.0,-1,0
0,0,1739572964.0,2,2,1,1,10,9,22,4,0,65.0,-1,0
0,0,1768773042.0,0,0,0,3,0,9,21,6,1,235.0,-1,0
0,0,1765781587.0,1,1,1,2,15,0,6,0,0,167.0,-1,0
0,0,1744405656.0,2,2,0,1,6,0,21,4,0,21.0,-1,0
0,0,1770241748.0,1,1,0,1,0,4,21,2,0,239.0,-1,0
0,0,1735837138.0,0,0,5,3,10,0,16,3,0,230.0,-1,0
0,0,1745548635.0,1,1,1,6,0,0,2,4,0,9.0,-1,0
0,0,1756091428.0,3,3,1,6,6,5,3,0,0,41.0,-1,0
0,0,1756515440.0,0,0,2,2,10,0,0,5,1,18.0,-1,0
0,0,1751327729.0,3,3,3,5,10,0,23,0,0,58.0,-1,0
0,0,1763934785.0,0,0,3,6,10,0,21,6,1,192.0,-1,0
0,0,1735939435.0,2,2,4,2,0,0,21,4,0,173.0,-1,0
0,0,1745029674.0,3,3,5,5,11,0,2,5,1,48.0,-1,0
0,0,1749341329.0,0,0,1,6,10,0,0,6,1,22.0,-1,0
0,0,1737941458.0,2,2,5,1,6,4,1,0,0,209.0,-1,0
0,0,1740194240.0,3,3,0,6,10,8,3,5,1,10.0,-1,0
0,0,1737078327.0,0,0,5,3,11,4,1,4,0,125.0,-1,0
0,0,1765502322.0,2,2,5,3,15,4,1,4,0,69.0,-1,0
0,0,1772412533.0,0,0,5,4,6,0,0,0,0,20.0,-1,0
7,0,1746496314.0,0,0,4,1,15,8,1,1,0,145.0,-1,1
0,0,1769646360.0,3,3,5,5,2,9,0,3,0,2.0,-1,0
0,0,1766983946.0,0,0,0,1,11,8,4,0,0,26.0,-1,0
0,0,1753937937.0,3,3,4,1,15,0,4,3,0,229.0,-1,0
0,0,1766173872.0,2,2,0,5,15,0,19,4,0,33.0,-1,0
0,0,1771111455.0,3,3,0,6,1,5,23,5,1,224.0,-1,0
0,0,1748825880.0,1,1,2,1,11,8,0,0,0,27.0,-1,0
0,0,1735959802.0,0,0,1,6,11,4,3,5,1,4.0,-1,0
0,0,1772404219.0,2,2,0,6,11,9,22,6,1,180.0,-1,0
