protoPayload.status.code,anonymous_principal,timestamp__epoch_s,logName__le,labels.authorization.k8s.io/decision__le,resource.labels.project_id__le,resource.labels.location__le,resource.labels.cluster_name__le,protoPayload.methodName__le,protoPayload.requestMetadata.callerSuppliedUserAgent__le,hour,dayofweek,is_weekend,timestamp_delay_s
0,0,1730651887.0,3,1,3,1,4,12,7,16,6,1,51.0
7,0,1720267159.0,3,1,3,3,0,9,6,11,5,1,127.0
0,1,1709697932.0,3,1,3,5,2,8,6,4,2,0,257.0
3,1,1734449091.0,3,1,3,1,2,14,1,15,1,0,5.0
3,0,1726553364.0,3,1,3,1,2,14,6,6,1,0,76.0
7,1,1733447521.0,3,0,3,0,2,9,2,1,4,0,86.0
13,0,1721470594.0,3,0,3,1,0,8,7,10,5,1,40.0
13,0,1721938892.0,3,1,3,0,4,13,6,20,3,0,49.0
3,0,1735163128.0,3,1,3,0,6,8,3,21,2,0,155.0
16,0,1721588949.0,3,0,3,3,6,13,7,19,6,1,64.0
0,0,1728150256.0,3,1,3,3,2,12,2,17,5,1,158.0
7,0,1715301518.0,3,1,3,1,0,8,6,0,4,0,203.0
13,0,1712710484.0,3,1,3,3,0,13,6,0,2,0,186.0
3,0,1728093229.0,3,1,3,0,5,8,7,1,5,1,150.0
13,0,1727026209.0,3,0,3,3,2,9,3,17,6,1,55.0
16,1,1734578887.0,3,1,3,5,6,14,6,3,3,0,76.0
13,0,1720446400.0,3,1,3,5,0,14,3,13,0,0,224.0
0,0,1727602409.0,3,1,3,5,5,12,1,9,6,1,29.0
13,0,1734596393.0,3,0,3,5,2,9,2,8,3,0,50.0
0,1,1724050548.0,3,0,3,1,6,13,1,6,0,0,95.0
0,0,1732855158.0,3,0,3,3,2,12,6,4,4,0,54.0
7,1,1712174566.0,3,1,3,5,4,14,2,20,2,0,114.0
16,0,1714450468.0,3,0,3,3,5,9,1,4,1,0,87.0
7,0,1715788039.0,3,1,3,0,6,14,7,15,2,0,106.0
7,0,1704468978.0,3,1,3,3,4,12,3,15,4,0,163.0
0,0,1726474268.0,3,1,3,3,5,14,7,8,0,0,134.0
3,1,1716635594.0,3,0,3,5,0,9,1,11,5,1,115.0
3,0,1732302733.0,3,0,3,5,5,13,1,19,4,0,166.0
16,1,1712685438.0,3,0,3,1,4,14,1,17,1,0,185.0
0,0,1707466672.0,3,1,3,5,2,9,1,8,4,0,117.0
7,1,1708846344.0,3,0,3,0,5,8,3,7,6,1,256.0
7,1,1704516506.0,3,1,3,0,5,14,3,4,5,1,92.0
7,0,1709713999.0,3,1,3,0,6,14,1,8,2,0,281.0
7,0,1729140749.0,3,0,3,0,6,9,7,4,3,0,152.0
3,0,1719130135.0,3,1,3,3,5,12,2,8,6,1,28.0
16,0,1705027403.0,3,1,3,1,6,14,3,2,4,0,159.0
0,0,1713717932.0,3,0,3,3,2,9,3,16,6,1,234.0
3,1,1721134316.0,3,1,3,3,4,14,7,12,1,0,35.0
16,0,1704349534.0,3,0,3,5,2,12,2,6,3,0,15.0
7,1,1713640356.0,3,0,3,5,4,13,6,19,5,1,97.0
3,0,1727333102.0,3,0,3,0,0,14,7,6,3,0,195.0
7,0,1709374366.0,3,1,3,3,2,9,3,10,5,1,177.0
0,0,1713249959.0,3,0,3,1,2,12,3,6,1,0,153.0
13,1,1710189363.0,3,1,3,0,6,9,2,20,0,0,42.0
13,0,1712870021.0,3,1,3,1,2,8,7,21,3,0,287.0
16,0,1733267400.0,3,0,3,1,0,14,6,23,1,0,131.0
13,0,1731465631.0,3,0,3,5,6,14,2,2,2,0,34.0
3,0,1715030362.0,3,0,3,1,6,8,3,21,0,0,59.0
3,0,1717604845.0,3,0,3,1,4,14,1,16,2,0,193.0
13,0,1730180873.0,3,0,3,0,2,12,2,5,1,0,241.0
16,1,1721167236.0,3,1,3,3,6,12,2,22,1,0,287.0
3,1,1705943048.0,3,1,3,5,5,9,3,17,0,0,260.0
13,1,1732964630.0,3,1,3,1,4,8,1,11,5,1,172.0
7,1,1709134709.0,3,1,3,1,2,13,1,15,2,0,141.0
0,0,1708932580.0,3,1,3,5,6,13,7,7,0,0,83.0
7,0,1733460771.0,3,1,3,5,4,12,2,4,4,0,159.0
16,0,1705012793.0,3,0,3,5,0,13,2,22,3,0,199.0
0,1,1721614761.0,3,0,3,1,2,9,7,2,0,0,100.0
16,1,1705227071.0,3,0,3,5,0,13,2,10,6,1,76.0
16,1,1716570797.0,3,1,3,0,2,14,2,17,4,0,130.0
16,0,1724907208.0,3,0,3,0,6,13,1,4,3,0,230.0
13,0,1724967999.0,3,0,3,5,0,14,1,21,3,0,196.0
16,0,1719584298.0,3,0,3,0,2,14,7,14,4,0,25.0
13,0,1722410372.0,3,1,3,0,4,13,2,7,2,0,249.0
0,0,1727442867.0,3,0,3,1,5,8,2,13,4,0,17.0
13,0,1727667938.0,3,1,3,1,4,12,7,3,0,0,254.0
