protoPayload.status.code,anonymous_principal,timestamp__epoch_s,logName__le,resource.labels.project_id__le,resource.labels.location__le,resource.labels.cluster_name__le,protoPayload.methodName__le,protoPayload.requestMetadata.callerSuppliedUserAgent__le,hour,dayofweek,is_weekend,timestamp_delay_s,anomaly,target
0,0,1730651887.0,3,3,1,4,12,7,16,6,1,51.0,-1,1
7,0,1720267159.0,3,3,3,0,9,6,11,5,1,127.0,-1,1
0,1,1709697932.0,3,3,5,2,8,6,4,2,0,257.0,-1,1
3,1,1734449091.0,3,3,1,2,14,1,15,1,0,5.0,-1,1
3,0,1726553364.0,3,3,1,2,14,6,6,1,0,76.0,-1,1
7,1,1733447521.0,3,3,0,2,9,2,1,4,0,86.0,-1,0
13,0,1721470594.0,3,3,1,0,8,7,10,5,1,40.0,-1,0
13,0,1721938892.0,3,3,0,4,13,6,20,3,0,49.0,-1,1
3,0,1735163128.0,3,3,0,6,8,3,21,2,0,155.0,-1,1
16,0,1721588949.0,3,3,3,6,13,7,19,6,1,64.0,-1,0
0,0,1728150256.0,3,3,3,2,12,2,17,5,1,158.0,-1,1
7,0,1715301518.0,3,3,1,0,8,6,0,4,0,203.0,-1,1
13,0,1712710484.0,3,3,3,0,13,6,0,2,0,186.0,-1,1
3,0,1728093229.0,3,3,0,5,8,7,1,5,1,150.0,-1,1
13,0,1727026209.0,3,3,3,2,9,3,17,6,1,55.0,-1,0
16,1,1734578887.0,3,3,5,6,14,6,3,3,0,76.0,-1,1
13,0,1720446400.0,3,3,5,0,14,3,13,0,0,224.0,-1,1
0,0,1727602409.0,3,3,5,5,12,1,9,6,1,29.0,-1,1
13,0,1734596393.0,3,3,5,2,9,2,8,3,0,50.0,-1,0
0,1,1724050548.0,3,3,1,6,13,1,6,0,0,95.0,-1,0
7,1,1712174566.0,3,3,5,4,14,2,20,2,0,114.0,-1,1
16,0,1714450468.0,3,3,3,5,9,1,4,1,0,87.0,-1,0
7,0,1715788039.0,3,3,0,6,14,7,15,2,0,106.0,-1,1
7,0,1704468978.0,3,3,3,4,12,3,15,4,0,163.0,-1,1
0,0,1726474268.0,3,3,3,5,14,7,8,0,0,134.0,-1,1
3,1,1716635594.0,3,3,5,0,9,1,11,5,1,115.0,-1,0
3,0,1732302733.0,3,3,5,5,13,1,19,4,0,166.0,-1,0
16,1,1712685438.0,3,3,1,4,14,1,17,1,0,185.0,-1,0
0,0,1707466672.0,3,3,5,2,9,1,8,4,0,117.0,-1,1
7,1,1708846344.0,3,3,0,5,8,3,7,6,1,256.0,-1,0
